route_id,service_id,start_time,end_time,headway_secs
21,D,08:30:00,12:00:00,660
21,D,12:00:00,13:30:00,420
21,D,13:30:00,18:30:00,660
21,D,18:30:00,21:30:00,420
21,D,21:30:00,22:30:00,660
21,D,22:30:00,25:00:00,1200
22,H,05:00:00,06:00:00,900
22,H,06:00:00,08:30:00,600
22,H,08:30:00,12:00:00,900
22,H,12:00:00,13:30:00,600
22,H,13:30:00,18:30:00,900
22,H,18:30:00,21:30:00,600
22,H,21:30:00,22:30:00,900
22,H,22:30:00,25:00:00,1800
22,S,05:00:00,06:00:00,900
22,S,06:00:00,08:30:00,600
22,S,08:30:00,12:00:00,900
22,S,12:00:00,13:30:00,600
22,S,13:30:00,18:30:00,900
22,S,18:30:00,21:30:00,600
22,S,21:30:00,22:30:00,900
22,S,22:30:00,25:00:00,1800
22,D,05:00:00,06:00:00,900
22,D,06:00:00,08:30:00,600
22,D,08:30:00,12:00:00,900
22,D,12:00:00,13:30:00,600
22,D,13:30:00,18:30:00,900
22,D,18:30:00,21:30:00,600
22,D,21:30:00,22:30:00,900
22,D,22:30:00,25:00:00,1800
23,H,05:00:00,06:00:00,900
23,H,06:00:00,08:30:00,600
23,H,08:30:00,12:00:00,900
23,H,12:00:00,13:30:00,600
23,H,13:30:00,18:30:00,900
23,H,18:30:00,21:30:00,600
23,H,21:30:00,22:30:00,900
23,H,22:30:00,25:00:00,1800
23,S,05:00:00,06:00:00,900
23,S,06:00:00,08:30:00,600
23,S,08:30:00,12:00:00,900
23,S,12:00:00,13:30:00,600
23,S,13:30:00,18:30:00,900
23,S,18:30:00,21:30:00,600
23,S,21:30:00,22:30:00,900
23,S,22:30:00,25:00:00,1800
23,D,05:00:00,06:00:00,900
23,D,06:00:00,08:30:00,600
23,D,08:30:00,12:00:00,900
23,D,12:00:00,13:30:00,600
23,D,13:30:00,18:30:00,900
23,D,18:30:00,21:30:00,600
23,D,21:30:00,22:30:00,900
23,D,22:30:00,25:00:00,1800
24,H,05:00:00,06:00:00,1200
24,H,06:00:00,08:30:00,720
24,H,08:30:00,12:00:00,1200
24,H,12:00:00,13:30:00,720
24,H,13:30:00,18:30:00,1200
24,H,18:30:00,21:30:00,720
24,H,21:30:00,22:30:00,1200
24,H,22:30:00,25:00:00,1800
24,S,05:00:00,06:00:00,1200
24,S,06:00:00,08:30:00,720
24,S,08:30:00,12:00:00,1200
24,S,12:00:00,13:30:00,720
24,S,13:30:00,18:30:00,1200
24,S,18:30:00,21:30:00,720
24,S,21:30:00,22:30:00,1200
24,S,22:30:00,25:00:00,1800
24,D,05:00:00,06:00:00,1200
24,D,06:00:00,08:30:00,720
24,D,08:30:00,12:00:00,1200
24,D,12:00:00,13:30:00,720
24,D,13:30:00,18:30:00,1200
24,D,18:30:00,21:30:00,720
24,D,21:30:00,22:30:00,1200
24,D,22:30:00,25:00:00,1800
25,H,05:00:00,06:00:00,1200
25,H,06:00:00,08:30:00,840
25,H,08:30:00,12:00:00,1200
25,H,12:00:00,13:30:00,840
25,H,13:30:00,18:30:00,1200
25,H,18:30:00,21:30:00,840
25,H,21:30:00,22:30:00,1200
25,H,22:30:00,25:00:00,1800
25,S,05:00:00,06:00:00,1200
25,S,06:00:00,08:30:00,840
25,S,08:30:00,12:00:00,1200
25,S,12:00:00,13:30:00,840
25,S,13:30:00,18:30:00,1200
25,S,18:30:00,21:30:00,840
25,S,21:30:00,22:30:00,1200
25,S,22:30:00,25:00:00,1800
25,D,05:00:00,06:00:00,1200
25,D,06:00:00,08:30:00,840
25,D,08:30:00,12:00:00,1200
25,D,12:00:00,13:30:00,840
25,D,13:30:00,18:30:00,1200
25,D,18:30:00,21:30:00,840
25,D,21:30:00,22:30:00,1200
25,D,22:30:00,25:00:00,1800
26,H,01:00:00,05:00:00,7200
26,H,05:00:00,06:00:00,900
26,H,06:00:00,08:30:00,540
26,H,08:30:00,12:00:00,900
26,H,12:00:00,13:30:00,540
26,H,13:30:00,18:30:00,900
26,H,18:30:00,21:30:00,540
26,H,21:30:00,22:30:00,900
26,H,22:30:00,25:00:00,1800
26,S,01:00:00,05:00:00,7200
26,S,05:00:00,06:00:00,900
26,S,06:00:00,08:30:00,540
26,S,08:30:00,12:00:00,900
26,S,12:00:00,13:30:00,540
26,S,13:30:00,18:30:00,900
26,S,18:30:00,21:30:00,540
26,S,21:30:00,22:30:00,900
26,S,22:30:00,25:00:00,1800
26,D,01:00:00,05:00:00,7200
26,D,05:00:00,06:00:00,900
26,D,06:00:00,08:30:00,540
26,D,08:30:00,12:00:00,900
26,D,12:00:00,13:30:00,540
26,D,13:30:00,18:30:00,900
26,D,18:30:00,21:30:00,540
26,D,21:30:00,22:30:00,900
26,D,22:30:00,25:00:00,1800
27,H,05:00:00,06:00:00,1200
27,H,06:00:00,08:30:00,960
27,H,08:30:00,12:00:00,1200
27,H,12:00:00,13:30:00,960
27,H,13:30:00,18:30:00,1200
27,H,18:30:00,21:30:00,960
27,H,21:30:00,22:30:00,1200
27,H,22:30:00,25:00:00,2100
27,S,05:00:00,06:00:00,1200
27,S,06:00:00,08:30:00,960
27,S,08:30:00,12:00:00,1200
27,S,12:00:00,13:30:00,960
27,S,13:30:00,18:30:00,1200
27,S,18:30:00,21:30:00,960
27,S,21:30:00,22:30:00,1200
27,S,22:30:00,25:00:00,2100
27,D,05:00:00,06:00:00,1200
27,D,06:00:00,08:30:00,960
27,D,08:30:00,12:00:00,1200
27,D,12:00:00,13:30:00,960
27,D,13:30:00,18:30:00,1200
27,D,18:30:00,21:30:00,960
27,D,21:30:00,22:30:00,1200
27,D,22:30:00,25:00:00,2100
28,H,01:00:00,05:00:00,3600
28,H,05:00:00,06:00:00,780
28,H,06:00:00,08:30:00,420
28,H,08:30:00,12:00:00,780
28,H,12:00:00,13:30:00,420
28,H,13:30:00,18:30:00,780
28,H,18:30:00,21:30:00,420
28,H,21:30:00,22:30:00,780
28,H,22:30:00,25:00:00,1200
28,S,01:00:00,05:00:00,3600
28,S,05:00:00,06:00:00,780
28,S,06:00:00,08:30:00,420
28,S,08:30:00,12:00:00,780
28,S,12:00:00,13:30:00,420
28,S,13:30:00,18:30:00,780
28,S,18:30:00,21:30:00,420
28,S,21:30:00,22:30:00,780
28,S,22:30:00,25:00:00,1200
28,D,01:00:00,05:00:00,3600
28,D,05:00:00,06:00:00,780
28,D,06:00:00,08:30:00,420
28,D,08:30:00,12:00:00,780
28,D,12:00:00,13:30:00,420
28,D,13:30:00,18:30:00,780
28,D,18:30:00,21:30:00,420
28,D,21:30:00,22:30:00,780
28,D,22:30:00,25:00:00,1200
29,H,01:00:00,05:00:00,7200
29,H,05:00:00,06:00:00,780
29,H,06:00:00,08:30:00,540
29,H,08:30:00,12:00:00,780
29,H,12:00:00,13:30:00,540
29,H,13:30:00,18:30:00,780
29,H,18:30:00,21:30:00,540
29,H,21:30:00,22:30:00,780
29,H,22:30:00,25:00:00,1800
29,S,01:00:00,05:00:00,7200
29,S,05:00:00,06:00:00,780
29,S,06:00:00,08:30:00,540
29,S,08:30:00,12:00:00,780
29,S,12:00:00,13:30:00,540
29,S,13:30:00,18:30:00,780
29,S,18:30:00,21:30:00,540
29,S,21:30:00,22:30:00,780
29,S,22:30:00,25:00:00,1800
29,D,01:00:00,05:00:00,7200
29,D,05:00:00,06:00:00,780
29,D,06:00:00,08:30:00,540
29,D,08:30:00,12:00:00,780
29,D,12:00:00,13:30:00,540
29,D,13:30:00,18:30:00,780
29,D,18:30:00,21:30:00,540
29,D,21:30:00,22:30:00,780
29,D,22:30:00,25:00:00,1800
30,H,05:00:00,06:00:00,900
30,H,06:00:00,08:30:00,480
30,H,08:30:00,12:00:00,900
30,H,12:00:00,13:30:00,480
30,H,13:30:00,18:30:00,900
30,H,18:30:00,21:30:00,480
30,H,21:30:00,22:30:00,900
30,H,22:30:00,25:00:00,1800
30,S,05:00:00,06:00:00,900
30,S,06:00:00,08:30:00,480
30,S,08:30:00,12:00:00,900
30,S,12:00:00,13:30:00,480
30,S,13:30:00,18:30:00,900
30,S,18:30:00,21:30:00,480
30,S,21:30:00,22:30:00,900
30,S,22:30:00,25:00:00,1800
30,D,05:00:00,06:00:00,900
30,D,06:00:00,08:30:00,480
30,D,08:30:00,12:00:00,900
30,D,12:00:00,13:30:00,480
30,D,13:30:00,18:30:00,900
