stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
8152,C8152,,Av. Dr. Arturo Capdevila 143,-31.3799707136,-64.1705511662,Av. Dr. Arturo Capdevila 143,,,Esq  Obispo Carranza
8153,C8153,,Av. Dr. Arturo Capdevila 300,-31.3803631099,-64.173462567,Av. Dr. Arturo Capdevila 300,,,Esq. Acevey
8154,C8154,,Gongora 330,-31.3805139791,-64.1787384304,Gongora 330,,,Entre Tucuman Y Sucre
8155,C8155,,Gongora 500,-31.380492745,-64.1818793964,Gongora 500,,,Esq  Jujuy ( Hospital Infantil)
8156,C8156,,Gongora 758,-31.3804913709,-64.1845624799,Gongora 758,,,Pasando Fragueiro
8157,C8157,,Gongora 952,-31.3804958167,-64.1874063576,Gongora 952,,,Esq  Rodriguez Peña
8158,C8158,,Gongora 1168,-31.380511823,-64.1897624145,Gongora 1168,,,Pasando Mendoza
8159,C8159,,Gongora 1322,-31.3805214125,-64.1919330515,Gongora 1322,,,Esq Huarte
8160,C8160,,Gongora 1534,-31.3805233683,-64.1946214576,Gongora 1534,,,Esq F. Suarez
8161,C8161,,Gongora 1711,-31.380536435,-64.1973860493,Gongora 1711,,,Esq  Gomez Pereyra
8162,C8162,,Gongora 2070,-31.3805233305,-64.2012345606,Gongora 2070,,,Esq  Bv Los Granaderos
8163,C8163,,Bv. Los Granaderos 2248,-31.3787405912,-64.2037136933,Bv. Los Granaderos 2248,,,Esq Dobrizhofer
8164,C8164,,Bv. Los Granaderos 2450,-31.3768977942,-64.2060577799,Bv. Los Granaderos 2450,,,Esq  Monseñor Pablo Cabrera
8165,C8165,,Bv. Los Granaderos 2694,-31.3759496213,-64.2092835389,Bv. Los Granaderos 2694,,,Esq  Ciudad Del Barco
8166,C8166,,Concepcion Del Bermejo 3156,-31.374679032,-64.211324197,Concepcion Del Bermejo 3156,,,Esq  Las Vertientes
8167,C8167,,Concepcion Del Bermejo 3300,-31.3724877156,-64.2109013302,Concepcion Del Bermejo 3300,,,Esq  F. Drummond
8168,C8168,,Concepcion Del Bermejo 3882,-31.3699259673,-64.2104066658,Concepcion Del Bermejo 3882,,,Esq Cardeñosa
8169,C8169,,Quinquila Martin 2936,-31.3684344954,-64.2123434366,Quinquila Martin 2936,,,Pasando Manuel Galvez
8170,C8170,,Quinquela Martin 3170,-31.3672911945,-64.2154613461,Quinquela Martin 3170,,,Esq  Toscanini
8171,C8171,,Quinquela Martin 3294,-31.3658534133,-64.2175663714,Quinquela Martin 3294,,,Esq Fray Luis Beltran (Hipermercado  Libertad)
8172,C8172,,Rodriguez Del Bustos 3627,-31.3686163621,-64.2212070376,Rodriguez Del Bustos 3627,,,Esq  J. B. Planas
8173,C8173,,Rodriguez Del Bustos 3219,-31.371142465,-64.2218178003,Rodriguez Del Bustos 3219,,,Esq Castagnino ( Cordoba Medical Center)
8174,C8174,,Rodriguez Del Bustos 2900,-31.3751300623,-64.2226554659,Rodriguez Del Bustos 2900,,,Esq  H. Malvino
8175,C8175,,Rodriguez Del Bustos 2300,-31.3787384552,-64.2234435555,Rodriguez Del Bustos 2300,,,Esq  Rafael Nuñez
8176,C8176,,Octavio Lopez 3200,-31.3835724019,-64.2222483269,Octavio Lopez 3200,,,Esq  J. Lopez
8177,C8177,,Temistocles Castellanos 1513,-31.3868029257,-64.2214178359,Temistocles Castellanos 1513,,,Esq  M. Coronado
8178,C8178,,Temistocles Castellanos 1314,-31.3890001143,-64.2231328778,Temistocles Castellanos 1314,,,Esq. Barros Pasos
8179,C8179,,Jose Barros Pazos 2950,-31.3901781425,-64.2211864424,Jose Barros Pazos 2950,,,Esq  Padre Galeano (Plaza Barrio Escobar)
8180,C8180,,Domingo Zipoli 975,-31.3935060727,-64.2213480361,Domingo Zipoli 975,,,Esq Nazaret
8181,C8181,,Domingo Zipoli 621,-31.3968006088,-64.2235264323,Domingo Zipoli 621,,,Esq  La Tablada
8182,C8182,,La Rioja 3337,-31.3990751805,-64.2236160098,La Rioja 3337,,,Entre Zipoli Y Esperanto
8183,C8183,,La Rioja 3111,-31.3998562947,-64.2211814732,La Rioja 3111,,,Esq Cafferata
8184,C8184,,Juan Cafferata 229,-31.4007111302,-64.2211781937,Juan Cafferata 229,,,Esq  Colon
8185,C8185,,Juan Cafferata 011,-31.403723922,-64.2224937288,Juan Cafferata 011,,,Esq Dean Funes
8186,C8186,,Maestro Vidal 264,-31.4067407623,-64.2237859929,Maestro Vidal 264,,,Esq  Duarte Quiroz
8187,C8187,,Maestro Vidal 446,-31.410324994,-64.2249626207,Maestro Vidal 446,,,Esq  Luna Y Cardenas
8188,C8188,,Maestro Vidal 594,-31.4133753198,-64.2257713973,Maestro Vidal 594,,,Esq  Santa Ana
8189,C8189,,Maestro Vidal 770,-31.4155994945,-64.2263352577,Maestro Vidal 770,,,Esq. A. Rodriguez
8190,C8190,,Maestro Vidal 1050,-31.4186412177,-64.2271486889,Maestro Vidal 1050,,,Esq. Angelo Peredo
8191,C8191,,Maestro Marcelo Lopez 1300,-31.4226048802,-64.2282405981,Maestro Marcelo Lopez 1300,,,Esq  P. De Rogatis
8192,C8192,,Maestro Vidal 1500,-31.4260029725,-64.2290594992,Maestro Vidal 1500,,,Esq  H. Panizza
8193,C8193,,Maestro Vidal 1646,-31.4282783432,-64.2297053653,Maestro Vidal 1646,,,Esq. A. Williams
8194,C8194,,Maestro Marcelo Lopez 1842,-31.4303892704,-64.2302659024,Maestro Marcelo Lopez 1842,,,Esq  Lopez Buchardo
8195,C8195,,Av. Fuerza Aerea Argentina 3039,-31.4315863749,-64.2293595246,Av. Fuerza Aerea Argentina 3039,,,Esq Zapaleri
8196,C8196,,Felipe Boero 1968,-31.432357223,-64.2280520217,Felipe Boero 1968,,,Esq. Aconcagua
8197,C8197,,Felipe Boero 2290,-31.4353115976,-64.2280444536,Felipe Boero 2290,,,Esq  G. Mistral
8198,C8198,,Lagunilla 2759,-31.4369647089,-64.2252181602,Lagunilla 2759,,,Esq. Almirante Guillermo Brown
8199,C8199,,Lagunilla 2650,-31.4369622109,-64.2236198241,Lagunilla 2650,,,Esq  Padre Lozano
8200,C8200,,Lagunilla 2500,-31.4369767652,-64.2211783269,Lagunilla 2500,,,Esq  O. Correa
8201,C8201,,Lagunilla 2200,-31.4369229713,-64.2188559716,Lagunilla 2200,,,Esq  Cumbres Negras
8203,C8203,,Belisario Villafañe 1831,-31.4405997062,-64.2143337233,Belisario Villafañe 1831,,,Esq  Ro Negro
8480,C8480,,Atlantida 2200,-31.4780621618,-64.2453379493,Atlantida 2200,,,Esq. Curazao
8204,C8204,,Rio Negro 1862,-31.4421975896,-64.2143176821,Rio Negro 1862,,,Entre Antonio Melo  Y Guayamas
8205,C8205,,Rio Negro 2988,-31.4445421772,-64.2149177995,Rio Negro 2988,,,Esq  Ibacla
8206,C8206,,Rio Negro  3100,-31.4456351872,-64.2151646461,Rio Negro  3100,,,Esq. Baigorria
8207,C8207,,Manuel Baigorria,-31.4456548049,-64.2122200253,Manuel Baigorria,,,Esq  Cacheuta (Paso A Nivel)
8208,C8208,,San Antonio 967,-31.4457158819,-64.2103365404,San Antonio 967,,,Pasando  De Goy
8209,C8209,,Parga 3386,-31.4472388356,-64.2088463287,Parga 3386,,,Esq L. Langer
8210,C8210,,Parga 3590,-31.4494005132,-64.2093438379,Parga 3590,,,Esq Soaje
8211,C8211,,Parga 3696,-31.4510937547,-64.209715809,Parga 3696,,,Esq  Taboada
8212,C8212,,Pastor Taboada 717,-31.4518657689,-64.206999031,Pastor Taboada 717,,,Esq. A. Torres
8213,C8213,,Pastor Taboada 545,-31.4523197897,-64.2046880904,Pastor Taboada 545,,,Esq. Av. Armada Argentina
8214,C8214,,Colonia Impira 100,-31.463585995,-64.2515253554,Colonia Impira 100,,,
8215,C8215,,Colonia Impira S/N,-31.4636487562,-64.2481249974,Colonia Impira S/N,,,Mz. 5 Lote 7
8216,C8216,,Colonia Impira S/N,-31.4635891194,-64.2425740122,Colonia Impira S/N,,,Mz. 1 Lote 18 (Porton Renault)
8217,C8217,,2 De Septiembre 4332,-31.4646075197,-64.2384847,2 De Septiembre 4332,,,Entre Colonia Impira Y Rosario Del Dorado
8218,C8218,,Rosario Del Dorado 2287,-31.4652719704,-64.2361821138,Rosario Del Dorado 2287,,,Entre Tilquincho Y Posta De Chañar
8219,C8219,,Realico 2400,-31.4661799698,-64.2344530213,Realico 2400,,,Esq. Cañada De Luque
8220,C8220,,Relalico 2270,-31.4680179183,-64.2323335266,Relalico 2270,,,Entre Tajamar Y Casado
8221,C8221,,Av Casado 1857,-31.4682151292,-64.2306740973,Av Casado 1857,,,Esq. Michigan
8222,C8222,,Av Casado 1715,-31.4663462681,-64.2284506552,Av Casado 1715,,,Esq. Nevada
8223,C8223,,Av Casado 1629,-31.4646586212,-64.2263635838,Av Casado 1629,,,Esq. Lago Argentino
8224,C8224,,Lago Argentino 1950,-31.465593021,-64.2249032383,Lago Argentino 1950,,,Entre Rio Turbio Y Zonda
